"No";"No_sort";"Datafile";"t_min";"t_max";"Plotname";"Proxy";"Interpret";"Latitude";"Longitude";"CutoffFreq";"SourcePDF";"Source ";"Comment"
174;777;"data/paleo/America/USA/Laird1998ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
175;777;"data/paleo/Atlantic/Benguela/Farmer2005ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
176;777;"data/paleo/Asia/Tibet/Morrill2006ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
177;777;"data/paleo/Asia/Mongolia/Peck2003ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
178;777;"data/paleo/America/USA/Benson2002ngdc_pyramid.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
179;777;"data/paleo/Pacific/California/Barron2005ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
180;777;"data/paleo/Antarctica/Mayewski1999ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
181;777;"data/paleo/Antarctica/Grootes1999_o.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
182;777;"data/paleo/America/USA/Noren2002ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
183;777;"Ecuador_grayscale3.dat";0;12;"Ecuador";"GSD";"??";-2,4;-79;-1;"science_283_516.pdf";"Rodbell1999";"??"
184;777;"data/paleo/Atlantic/North/Came2007ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
185;777;"data/paleo/Atlantic/Caribbean/Lea2003ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
186;777;"data/paleo/Atlantic/Tropical/Hughen2000ngdc";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
187;777;"data/paleo/Atlantic/North/Girardeau2007ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
188;777;"data/paleo/Atlantic/North/Castaneda2004ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
189;777;"data/paleo/Indian/Arabian/Sirocko1995ngdc.csv";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
190;777;"data/paleo/Antarctica/Steig1999ngdc_d.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
191;777;"data/paleo/America/USA/Benson2002ngdc_owens.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
192;777;"data/paleo/Atlantic/Lund2006ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
193;777;"data/paleo/Atlantic/DeMenocal2000ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
194;777;"data/paleo/America/Peru/titicaca_2003.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
195;777;"data/paleo/America/Curtis2001ngdc_pseudocandona.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
